"";"ley";"id";"año";"mes";"apellido";"rol";"texto";"discurso"
"1";"21635";5;2023;5;"LEIVA";"de pie";"El señor LEIVA (de pie).-
Señorita Presidenta, en nombre de la Comisión de Seguridad Ciudadana, paso a informar sobre el proyecto de ley, en primer trámite constitucional y primero reglamentario, iniciado en moción del suscrito y de los diputados Jorge Alessandri , Jaime Araya , Miguel Ángel Calisto , Andrés Longton , Vlado Mirosevic , Rubén Oyarzo y Juan Santana , y de la diputada Lorena Fries , que modifica el Código Procesal Penal en materia de prisión preventiva para uso de armas de fuego o pertenencia a una organización criminal, correspondiente al boletín N° 15028-25, sin urgencia.
Por razones de tiempo y con el objetivo de tratar derechamente los aspectos esenciales de esta moción, solo abordaré aspectos básicos que han servido de base a esta iniciativa parlamentaria. Los atinentes a los antecedentes que sustentan este proyecto y la mención de las autoridades del Ejecutivo, otros invitados e intervenciones de las y los señores diputados que participaron en el debate se encuentran en detalle a disposición de sus señorías en el informe respectivo.
Me referiré brevemente a las constancias reglamentarias previas.
Ideas matrices o fundamentales
Las ideas centrales del proyecto se orientan al siguiente objetivo: establecer con mejor precisión criterios y principios orientadores en materia de determinación de la prisión preventiva, en especial el concepto referido tanto al peligro para la sociedad en función de la gravedad del hecho punible, como asimismo a la mantención de la libertad del imputado como peligro para la seguridad de la sociedad, considerando al efecto el hecho de que haya actuado usando armas de fuego o que haya formado parte de una agrupación u organización de dos o más personas en la comisión del ilícito.
Cabe mencionar que el proyecto no contiene normas de carácter orgánico constitucional o de quorum calificado.
Tampoco existen en él normas que requieran trámite de Hacienda.
En la sesión N° 16, del 31 de agosto de 2022, el proyecto fue aprobado en general por unanimidad.
Votaron a favor las diputadas señoras Lorena Fries y Alejandra Placencia , y los diputados señores Jaime Araya , Henry Leal , José Miguel Castro , Diego Schalper y quien informa, Raúl Leiva .
Asimismo, no hubo artículos e indicaciones rechazados ni declarados inadmisibles por la comisión.
Votación particular
El texto de la iniciativa consta de un artículo único, que modifica el artículo 140 del Código Procesal Penal para consagrar criterios orientadores en materia de determinación de la prisión preventiva relacionados con la formación de agrupaciones u organizaciones criminales y el uso de armas de fuego por parte del imputado al momento en que el juez evalúe si la libertad de este constituye un peligro para la seguridad de la sociedad.
Luego de darse lectura al citado artículo, se debatió acerca de la necesidad y urgencia, además de la conveniencia de despachar a la brevedad este proyecto. Así, se puso en votación particular y se aprobó por unanimidad en iguales términos.
Es todo cuanto puedo informar a la Sala.
He dicho.";1
"2";"21635";7;2023;5;"UNDURRAGA";"don Francisco";"El señor UNDURRAGA (don Francisco).-
Señorita Presidenta, artículo 8, inciso primero: “La Cámara no podrá entrar en sesión ni adoptar acuerdos sin la concurrencia de la tercera parte de sus miembros en ejercicio.”.
Ahora bien, los timbres llevan más de una hora sonando, y no logramos 44 diputados en el hemiciclo.
Le pido que instruya a los oficiales de Sala que informen que en cinco minutos más se cerrarán las puertas. Ello, porque estamos discutiendo temas que al menos a una parte importante de la población le hace sentido.
He dicho.";1
"3";"21635";9;2023;5;"UNDURRAGA";"don Francisco";"El señor UNDURRAGA (don Francisco).-
Señorita Presidenta, yo no solicité que se cerraran las puertas, sino que se suspendiera la sesión por cinco minutos para hacer llegar a los colegas, dado que estamos iniciando -ello, a pesar de que no está aquí el Ejecutivoel debate sobre un proyecto de ley de suma relevancia, como lo son todos, por lo demás.
Reitero: no estoy pidiendo que se cierren las puertas y que se levante la sesión, sino que esta se suspenda.
He dicho.";1
"4";"21635";11;2023;5;"MOREIRA";NA;"El señor MOREIRA.-
Señorita Presidenta, la prisión preventiva es la medida cautelar más gravosa que contempla nuestro ordenamiento jurídico, por cuanto permite la privación de libertad de una persona con la finalidad de asegurar el cumplimiento de la condena o el éxito de la investigación.
Esta medida es frecuentemente cuestionada por considerarla un adelantamiento de la pena sin que medie una sentencia definitiva. No obstante, el carácter excepcional y restrictivo de su aplicación ayuda a disipar dudas, siendo aplicable a casos de extrema gravedad cuando otras medidas cautelares fueran insuficientes para lograr dicho objetivo.
La prisión preventiva puede decretarse a solicitud del querellante o del Ministerio Público una vez formalizada la investigación, siempre que se acredite el cumplimiento de los siguientes requisitos:
1. Que existan antecedentes que justifiquen la existencia del delito que se investiga.
2. Que existan antecedentes que permitan presumir fundadamente que el imputado ha tenido participación en el delito como autor, cómplice o encubridor.
3. Que existan antecedentes fundados que permitan al tribunal considerar que la prisión preventiva es indispensable para el éxito de diligencias precisas y determinadas de la investigación cuando exista sospecha grave y fundada de que el imputado puede obstaculizar la investigación o inducir a coimputados, testigos o peritos para que informen falsamente.
4. Que la libertad del imputado sea peligrosa para la seguridad de la sociedad o del ofendido.
5. Que exista peligro de que el imputado se dé a la fuga.
Ahora bien, el proyecto en estudio considera dentro de sus antecedentes la proliferación de nuevas formas delictivas, como las asociaciones criminales con un alto poder de fuego y uso de armas ilegales. Así, con los nuevos criterios que se suman a la consideración que hace el tribunal, atendidas las particularidades del caso, se disipan eventuales dudas interpretativas al momento de aplicar la medida cautelar de que se trata, enfocándola en la gravedad del delito y no en la persona de quien lo comete, además de establecer como circunstancia de especial consideración el haber actuado en el marco de una organización criminal o utilizando armas de fuego que se encuentran expresamente prohibidas en la Ley sobre Control de Armas.
De esta manera, manteniendo la apreciación caso a caso que debe hacer el tribunal considerando lo gravoso de la medida cautelar, se entrega más objetividad a un criterio que hoy es abiertamente debatible, como es el peligro que puede implicar la libertad del imputado para la sociedad y el ofendido, además de ampliar su aplicación a la concurrencia de organizaciones criminales o al uso de armas de alto poder de fuego, que hoy representan un verdadero desafío para la persecución criminal.
Por lo anterior, llamo a la Sala a aprobar este proyecto.
He dicho.";1
"5";"21635";13;2023;5;"ARAYA";"don Cristián";"El señor ARAYA (don Cristián).-
Señorita Presidenta, en primer lugar, como usted bien sostuvo hace algunos minutos, es facultativo de los ministros de Estado estar presentes en la discusión de los proyectos de ley, y asumo que tendrán cosas más importantes de las cuales preocuparse que un proyecto de ley presentado por diputados oficialistas en la línea de la prisión preventiva para quien use armas de fuego o pertenezca a una organización criminal. Probablemente tienen cosas más importantes que hacer que preocuparse de estos temas.
Lamento que no estén presentes ni la ministra ni los subsecretarios.
Dicho eso, lo primero es señalar una frase que me quedó resonando hace algunos días, cuando la ministra del Interior afirmaba que llegamos tarde, que el Estado de Chile no estaba preparado para enfrentar la crisis de seguridad. ¡Y por Dios que es cierto lo que decía la ministra! Llegamos absolutamente tarde. Y ahí la gran pregunta es: ¿por qué llegamos tarde? Porque hasta hace muy poco cualquiera de estas iniciativas era ser de ultraderecha, era fascismo, era represión. ¡Vaya, vaya!
Ahora escuchamos al diputado Leiva informando sobre este proyecto, representante del mundo socialista, que impulsa una agenda que otrora -no hace mucho- hubiese sido considerada represiva, de ultraderecha, fascista, etcétera. Cambia, todo cambia.
Pero se trata de un buen proyecto, pues va a aportar en la línea de dar mayores posibilidades para que los delincuentes que utilicen armas de fuego o pertenezcan a una organización criminal permanezcan en la cárcel, en prisión preventiva, mientras avanza el proceso. Es evidente que constituye una amenaza para la seguridad de los chilenos que queden en libertad.
También creo que es una muy buena oportunidad para referirnos a un tema que tanto le ha preocupado a una parte del gobierno, a una de las almas del gobierno, que es el tema de las armas. Es evidente que hoy el poder de fuego de los delincuentes es mucho mayor que hace muy poco. Cada día entran armas a Chile por nuestra frontera, especialmente por el norte, y por los puertos. Por ahí ingresan las armas.
Ahora bien, nunca deja de sorprender que se ponga especial foco en quienes respetan la ley, en quienes tienen armas de forma legal, en quienes las inscriben y siguen todo un procedimiento.
El reglamento que se ingresó a la Contraloría para el control de armas tiene más de doscientas páginas. ¿Alguno de ustedes cree que a los delincuentes les importa el contenido de ese reglamento? Evidentemente que no, pero hay una cuestión ideológica. Hemos visto cómo Petro, en Colombia; Maduro , y antes Chávez , persiguieron a todo aquel civil que tuviese un arma inscrita, porque parece que les preocupa mucho más que un arma legalmente inscrita esté en manos de un civil honesto que realmente el problema de las armas en manos de delincuentes.
Hay que avanzar en la mano dura. ¡Qué bueno que hoy este tipo de proyectos concite un apoyo transversal! Espero ver al Frente Amplio y al Partido Comunista apoyando este tipo de iniciativas. No podría explicarme que no la apoyaran -esa es la verdad-; sería muy raro. Entiendo que en comisión la aprobaron. Creo que es una buena señal.
Qué bueno que se sumen a esta línea, a esta conducción, a este camino de enfrentar la delincuencia y no buscar
explicaciones sociológicas al fenómeno delictual, porque cuando a alguien le ponen una pistola en la cabeza no le preguntan si es moro o cristiano, si es de izquierda o de derecha. Esa víctima, que muchas veces queda traumatizada el resto de su vida, no merece pasar por ese trance.
Esperamos que se siga avanzando de forma rápida en esta agenda de seguridad, la cual estamos absolutamente dispuestos desde el Partido Republicano a apoyar con decisión. Esperamos que todas las fuerzas políticas dejen atrás sus tabús, sus traumas ideológicos, y pongan por delante la seguridad de los chilenos, porque si hay algo que clama el pueblo de Chile hoy es vivir tranquilo, seguro.
Vivir seguros no es un privilegio, sino un derecho. Para eso existe el Estado: para garantizar al menos que uno pueda dormir tranquilo.
Apoyaremos esta iniciativa y todo aquello que busque restaurar el orden y la seguridad en Chile, respaldar a las policías y devolver la tranquilidad a las familias chilenas.
He dicho.";1
"6";"21635";15;2023;5;"PULGAR";NA;"El señor PULGAR.-
Señorita Presidenta, cómo no estar de acuerdo con este proyecto. Siempre voy a apoyar las iniciativas que endurezcan las penas para quienes porten armas de fuego de forma ilegal.
Quiero contextualizar lo que estamos discutiendo y nutrir al gobierno. Hace tres horas, cuatro delincuentes extranjeros, fuertemente armados, irrumpieron en un hogar de la comuna de San Clemente, amarrando a sus ocupantes, entre ellos un funcionario de Carabineros. Como se dice, el dato mata el relato.
Si bien reconozco que este gobierno ha entregado un sinnúmero de apoyos en materia logística, quienes venimos del mundo de la seguridad vemos que eso no es suficiente para terminar con el crimen organizado y menos con la delincuencia. Se agradece que este gobierno haya entregado más equipamiento, pero la delincuencia se combate con estrategia y con menos discursos.
En la Región del Maule se registra un alza de los delitos cometidos con armas de fuego, pero siguen los discursos políticamente correctos de una autoridad que no está sintonizada con lo que estamos viviendo.
Por lo tanto, terminemos con los discursos y apliquemos metodologías que neutralicen al crimen organizado y el lavado de activos. En ese sentido, aplaudo el proyecto de ley que aprobamos ayer, que persigue los delitos de cuello y corbata, porque ese es otro atentado contra la seguridad de nuestro país.
Hago un llamado tanto a la gente de derecha como de izquierda a generar mociones que vayan en la dirección de perseguir otros delitos, como, por ejemplo, las organizaciones delictuales, que están desfondando al Estado a través de los municipios y de las corporaciones, lo que es sabido por todos. El Poder Legislativo no puede fiscalizar a las municipalidades, donde sabemos que se produce un enorme robo de bienes del Estado. ¡Y qué decir de las corporaciones!
Esperamos que en las próximas elecciones municipales se dé una señal al respecto, sobre todo en el caso de mi región, que tanto sufre. Ayer señalé que se trata de engañar a la ciudadanía con festivales y shows, para descolgarla o desarraigarla de la realidad que vivimos. A modo de ejemplo, un humorista fue contratado para actuar en una fiesta en la comuna de Colbún, pero su boleta de pago era por 11.900.000 pesos, pero al artista solo se le pagaron 5 millones de pesos. ¿Qué pasó con esos casi 7 millones de pesos? ¿A nadie de la derecha o de la izquierda le importa qué sucedió con ese dinero, que es de todos los chilenos? Ese monto podría servir para brindar mayor seguridad en las distintas villas y poblaciones. Todos sabemos que eso pasa en distintas comunas, desde Arica a Punta Arenas.
Entonces, nuevamente, dejo planteado en el Congreso Nacional que, de una vez por todas, combatamos el crimen organizado, el crimen de cuello y corbata, pero también aquellos delitos que no se persiguen y que siguen
permeando al Estado, a través de las municipalidades y de las corporaciones.
He dicho.";1
"7";"21635";17;2023;5;"HERTZ";"doña Carmen";"La señora HERTZ (doña Carmen).-
Señorita Presidenta, el presente proyecto, que busca modificar normas procesales en materia de prisión preventiva por usar armas de fuego o pertenecer a organizaciones criminales, desde una primera mirada, por cierto, parece enteramente coherente, atendida la situación de seguridad que vive nuestro país.
El punto -y esto no es devaneo sociológicoes que, para legislar sobre todos los temas siempre hay que tener visiones históricas responsables, pues no podemos ignorar que esta gran criminalidad organizada se alimenta de las deficiencias estructurales de un modelo en que el Estado no satisface adecuadamente los derechos de los habitantes del país.
Todos sabemos que esas asociaciones ilícitas se valen de personas pertenecientes a grupos que han sido históricamente vulnerados en sus derechos y, además, debemos lamentar que incluso miembros de nuestras policías han sido sorprendidos en vinculación con organizaciones criminales en distintos puntos del país.
Por lo tanto, vamos a aprobar este proyecto, pero entendiendo siempre que es necesario terminar con esas deficiencias estructurales, que no se solucionan solo con un exacerbado punitivismo.
Además, no está de más decir que esas deficiencias constituyen pilares económicos de un modelo que se nos impuso y que, en definitiva, empobreció y quitó derechos a las personas que trabajan, cuyas consecuencias viven ahora en carne propia los sectores más vulnerados del país.
He dicho.";1
"8";"21635";19;2023;5;"FRIES";"doña Lorena";"La señora FRIES (doña Lorena).-
Señorita Presidenta, el uso de armas fuego en Chile ha aumentado exponencialmente en los últimos años.
Revisemos algunos datos: la tasa de homicidios ligados a armas de fuego fue de 543 casos, que equivalen al 57 por ciento del total de homicidios cometidos en 2022. Actualmente, las armas perdidas suman un total de 61.097, que equivale al 8 por ciento de las armas inscritas activas. El total de armas incautadas por las policías fue de 2.216 durante el pasado año.
Estos datos dan cuenta de la realidad que vive nuestro país y de la necesidad de fiscalizar, controlar, sancionar y, finalmente, prohibir su uso.
La violencia armada pone en riesgo a las personas, la vida e integridad de las personas y el deber primario de protección del Estado. Por eso es necesario enviar señales claras a la sociedad. El monopolio legítimo del uso de la fuerza lo tienen las policías y nadie más; el uso de armas en la comisión de delitos debe ser debidamente sancionado. Así lo ha hecho la Cámara de Diputadas y Diputados al aprobar sanciones contra quienes utilicen armas de fuego en lugares de alta concurrencia pública. Espero que este proyecto contribuya a que quienes están dispuestos a usar armas, asuman las consecuencias.
Con este proyecto no se desnaturaliza la prisión preventiva; solo se busca precisar su procedencia, haciéndonos cargo de la especial gravedad que tienen las armas de fuego. Al incorporar un criterio basado en la gravedad del hecho particular de usar un arma de fuego en la comisión de un delito, no en las características personales del autor del hecho, se evidencia que el uso de armas de fuego es un peligro para la sociedad. Sigo creyendo que se trata de una medida excepcional a la presunción de inocencia, que, por cierto, debe ser la regla general. Debe
contar con una duración razonable, cuya procedencia siempre debe ser una facultad judicial que considere caso a caso la existencia de antecedentes calificados. Donde hay un arma, hay un riesgo, por lo que debemos enfrentar el uso de armas con la mayor severidad.
No me canso en decir que las armas de fuego son un peligro inminente no solo para la persona que la porta o la usa, sino para todo su entorno.
He dicho.";1
"9";"21635";21;2023;5;"LEIVA";NA;"El señor LEIVA.-
Señorita Presidenta, seré lo más breve posible. Pido que quienes intervendrán hagan lo propio, para votar y despachar hoy este proyecto.
Este es un proyecto esencial no solo por sus características, sino por la capacidad de convocar a todos los sectores del Parlamento. Tiene por objetivo algo muy simple: hacernos cargo de la realidad y de la crisis que vivimos en materia de seguridad. Cuando se comete un hecho que reviste caracteres de delito, con la utilización de un arma o en una asociación delictiva de dos o más personas, nos hacemos cargo de dos factores fundamentales en la determinación o en los criterios que el juez de garantía va a aplicar al momento de decretar una medida cautelar.
Lo que establecemos mediante este proyecto es que se tenga especial consideración, como real peligro para la seguridad de la sociedad, que los hechos que revistan caracteres de delito se cometan con la utilización de armas de fuego, haciendo una remisión clara a la ley de armas, comprendiéndose esta en el más amplio concepto.
Por otro lado, el juez de garantía, para estimar si la libertad del imputado resulta o no peligrosa para la seguridad de la sociedad, debe considerar si el delito fue cometido por un grupo o pandilla. Pues bien, nos hacemos cargo de ese criterio que debe adoptar el tribunal al agregar, luego de la palabra “pandilla”, la frase “o formando parte de una agrupación u organización de dos o más personas destinada a cometer dichos hechos punibles.”.
Pido que se apruebe el proyecto de ley, porque la especial peligrosidad y riesgo que tiene la comisión de un delito con un arma de fuego amerita, sin lugar a dudas, la prisión preventiva como medida cautelar más gravosa.
He dicho.";1
"10";"21635";23;2023;5;"KAISER";NA;"El señor KAISER.-
Señor Presidente, en primer lugar, quiero corregir algunos datos que creo que están equivocados, formulados por personas que me antecedieron en el uso de la palabra.
Los criminales no son criminales por culpa del sistema; son criminales porque deciden hacer daño a su prójimo a cambio de un rédito económico. Esa es la razón por la cual son criminales, o porque tienen una estructura valórica destruida, o porque quizá nunca la tuvieron.
En primer lugar, siempre se debe tener presente que son gente que decide dañar a su prójimo. Tienen autonomía, tienen agencia, son personas libres para el bien y para el mal. Por eso las sancionamos a través del Código Penal.
Si no fuesen libres para elegir, por supuesto que no podríamos sancionar. Esa es la lógica que se ha impuesto desde la izquierda. Así, entonces, el criminal es la víctima.
Corrigiendo un segundo punto y datos, entre 2021 y 2022 se incautaron 3.469 armas por parte de Carabineros, pero esas 3.469 armas no fueron incautadas en razón de que hayan participado en delitos, ya que dentro de esa cifra, por ejemplo, se encuentran armas de personas fallecidas, armas que fueron entregadas voluntariamente o armas de una persona que perdió su licencia para portarla.
De las armas que fueron declaradas sustraídas entre 2017 y 2022, se reportaron 415. Eso no es nada en comparación con las más de 700.000 armas que hay en Chile y que sirven tanto para la cacería como para el control de plagas y, también, para la defensa personal de los chilenos. Es bueno dejar eso en claro. Las armas que se están utilizando en la comisión de delitos, por lo demás, no son armas que se puedan vender o comprar legalmente en Chile, pues hablamos de subametralladoras, fusiles de asalto, granadas de mano, etcétera. ¿Usted cree que realmente puede ir a una armería y comprar algo así?
El hecho es que Chile está lleno de armas que han sido importadas gracias a nuestra falta de control de fronteras; también, está lleno de armas hechizas, que son fabricadas en talleres por criminales para criminales.
Entonces, no nos equivoquemos, porque la persecución de las personas honestas, que tienen un arma para defenderse a sí mismas, a su familia y sus propiedades, de ninguna manera va a aportar a reducir la crisis de criminalidad que sufrimos ahora.
Este proyecto sí aporta, pero va a aportar de la mano del hecho de que este gobierno se haga cargo, también, de la crisis carcelaria que tenemos en nuestro país. Si no hay espacio para encerrar a las personas, entonces ¿de qué sirve el endurecimiento de penas?
La sobrepoblación penal es un problema serio que está conduciendo a violaciones de derechos humanos dentro de las prisiones. Es algo que este gobierno está tolerando; es algo que este gobierno está aceptando y es algo que este gobierno no está corrigiendo. La pregunta es por qué, pues hay plata para todo tipo de cosas, pero no para esto.
Debemos endurecer las penas, corregir una serie de problemas sociales que han conducido a esta crisis de criminalidad, fortalecer la familia, pero, además, damas y caballeros, debemos avanzar en la construcción de prisiones, en la construcción de un sistema de seguridad que sea apto para lo que queremos, esto es, el control de la criminalidad y la destrucción de las bandas organizadas que se han instalado en nuestro país, especialmente aquellas de origen extranjero que han traído delitos que antes no conocíamos.
Damas y caballeros, no nos hagamos los lesos; no nos distraigamos de las necesidades urgentes e inmediatas del país. Necesitamos una legislación más dura, pero también necesitamos de infraestructura y de la fuerza de seguridad necesaria para imponerla.
He dicho.";1
